Wavelength,R,G,B,C,M,Y
600.4,0.962234730093142,0.403790070144827,0.0667816556606104,0.095941722517685,0.00396342241579799,0.804606545529069
600.6,0.963424099445993,0.401356293634274,0.0665827354174692,0.0957545355425025,0.00407068179585631,0.803406769399444
600.8,0.964542201732317,0.398925899141458,0.0663830454339934,0.0955717975081355,0.00418110019633745,0.802203131821764
601,0.965589374502729,0.396499080623099,0.0661826332706241,0.0953934374376385,0.00429461370532395,0.800995692489297
601.2,0.966565986568364,0.394076033269079,0.065981547124115,0.0952193858359995,0.00441115817446459,0.79978451169724
601.4,0.967472437382203,0.391656953428809,0.0657798358051476,0.0950495746779469,0.00453066925387653,0.798569650235868
601.6,0.968309156420404,0.389242038537574,0.0655775487159462,0.0948839373957572,0.00465308242704618,0.797351169285255
601.8,0.969076602563633,0.386831487042897,0.0653747358278929,0.0947224088670624,0.00477833304573123,0.79612913031402
602,0.969775263478396,0.384425498330886,0.0651714476591421,0.0945649254026569,0.00490635636486265,0.794903594979645
602.2,0.970405654998364,0.382024272652598,0.0649677352522359,0.0944114247343054,0.00503708757744569,0.793674625028851
602.4,0.970968320505708,0.379628011050383,0.0647636501517187,0.0942618460025498,0.00517046184946193,0.792442282197988
602.6,0.97146383031243,0.377236915284249,0.0645592443817526,0.0941161297445167,0.00530641435477103,0.791206628113408
602.8,0.971892781041687,0.37485118775821,0.0643545704237318,0.0939742178817247,0.00544488031001232,0.789967724191851
603,0.972255795009129,0.372471031446647,0.0641496811938978,0.0938360537078918,0.00558579500950635,0.788725631540825
603.2,0.972553519604223,0.370096649820656,0.0639446300209542,0.0937015818767429,0.00572909386015668,0.787480410858983
603.4,0.972786626671586,0.367728246774411,0.0637394706236822,0.0935707483898167,0.00587471241635159,0.786232122336511
603.6,0.972955811892315,0.365366026551514,0.0635342570885545,0.0934435005842734,0.00602258641486537,0.784980825555503
603.8,0.973061794165318,0.363010193671349,0.0633290438473511,0.0933197871207019,0.00617265180976069,0.783726579390347
