Wavelength,R,G,B
349,0.10764011371184,0.0487166046556302,0.110839669957882
349.2,0.107932474094518,0.0490792520911221,0.111565474385201
349.4,0.108223901280061,0.0494448023667732,0.112297747055614
349.6,0.108514428026566,0.0498132731743487,0.113036604626253
349.8,0.108804086848488,0.0501846812761429,0.113782163192468
350,0.109092909984889,0.0505590424704636,0.114534538220808
350.2,0.109380929367687,0.0509363715571155,0.115293844481992
350.4,0.109668176589909,0.0513166823028835,0.11606019598389
350.6,0.109954682873938,0.0516999874070172,0.116833705904502
350.8,0.110240479039767,0.0520862984667136,0.11761448652493
351,0.110525595473245,0.0524756259426009,0.118402649162359
351.2,0.110810062094329,0.0528679791242232,0.119198304103035
351.4,0.111093908325337,0.0532633660955224,0.120001560535241
351.6,0.111377163059192,0.0536617937003233,0.120812526482273
351.8,0.111659854627678,0.0540632675078167,0.121631308735418
352,0.111942010769688,0.0544677917780427,0.122458012786934
352.2,0.112223658599474,0.054875369427375,0.123292742763024
352.4,0.112504824574896,0.055286001994004,0.124135601356815
352.6,0.112785534465674,0.0556996896034206,0.124986689761333
352.8,0.11306581332164,0.0561164309339002,0.125846107602484
353,0.113345685440983,0.0565362231819859,0.126713952872028
353.2,0.113625174338503,0.056959062027972,0.127590321860559
353.4,0.113904302713862,0.0573849416013882,0.128475309090481
353.6,0.11418309241983,0.0578138544464829,0.129369007248983
353.8,0.114461564430539,0.058245791487707,0.130271507121022
354,0.114739738809733,0.0586807419951971,0.131182897522293
354.2,0.115017634679014,0.0591186935502596,0.132103265232213
354.4,0.115295270186099,0.0595596320108546,0.133032694926895
354.6,0.115572662473064,0.0600035414770784,0.133971269112125
354.8,0.115849827644597,0.0604504042566486,0.13491906805634
355,0.116126780736249,0.0609002008303867,0.135876169723607
355.2,0.116403535682682,0.0613529098177019,0.136842649706597
355.4,0.116680105285921,0.0618085079420753,0.137818581159564
355.6,0.116956501183603,0.0622669699965429,0.138804034731324
355.8,0.117232733817227,0.0627282688091794,0.139799078498228
356,0.117508812400408,0.0631923752085822,0.140803777897144
356.2,0.117784744887119,0.0636592579893547,0.141818195658432
356.4,0.11806053793995,0.0641288838775895,0.142842391738919
356.6,0.118336196898355,0.0646012174963534,0.143876423254882
356.8,0.118611725746898,0.0650762213311696,0.144920344415021
357,0.11888712708351,0.065553855695502,0.145974206453437
357.2,0.119162402087736,0.066034078696239,0.14703805756261
357.4,0.119437550488982,0.0665168461991765,0.148111942826375
357.6,0.119712570534772,0.0670021117945023,0.149195904152901
357.8,0.119987458958993,0.0674898267622793,0.15028998020767
358,0.120262210950148,0.0679799400379291,0.151394206346447
358.2,0.120536820119604,0.0684723981777157,0.152508614548266
358.4,0.120811278469842,0.0689671453242296,0.153633233348402
358.6,0.121085576362711,0.0694641231718705,0.154768087771351
358.8,0.121359702487675,0.0699632709323319,0.155913199263804
359,0.121633643830061,0.0704645253000841,0.157068585627628
359.2,0.121907385639317,0.0709678204178582,0.158234260952843
359.4,0.122180911397252,0.0714730878421294,0.159410235550594
359.6,0.122454202786295,0.071980256508601,0.160596515886135
359.8,0.122727239657741,0.0724892526976879,0.161793104511805
360,0.123,0.073,0.163
360.2,0.123272459907436,0.0735124192826531,0.164217196877284
360.4,0.123544593564427,0.0740264286770765,0.165444685587781
360.6,0.123816373268074,0.0745419436213908,0.166682452530922
360.8,0.12408776946614,0.0750588769242839,0.167930480128494
361,0.124358750795568,0.075577138829713,0.169188746892799
361.2,0.124629284121004,0.0760966370816065,0.170457227494831
361.4,0.124899334573319,0.0766172769885671,0.171735892832438
361.6,0.12516886558813,0.0771389614885732,0.173024710098492
361.8,0.125437838944322,0.0776615912136813,0.174323642849055
362,0.125706214802567,0.0781850645547292,0.175632651071552
362.2,0.12597395174385,0.0787092777260367,0.176951691252934
362.4,0.126241006807985,0.0792341248301094,0.178280716447849
362.6,0.126507335532142,0.0797594979223398,0.17961967634681
362.8,0.126772891989363,0.0802852870757102,0.180968517344359
363,0.127037628827088,0.0808113804454946,0.182327182607242
363.2,0.127301497305675,0.0813376643339616,0.183695612142571
363.4,0.12756444733692,0.0818640232550755,0.185073742865994
363.6,0.127826427522579,0.0823903399991998,0.186461508669865
363.8,0.128087385192892,0.0829164956977988,0.187858840491409
364,0.128347266445101,0.0834423698881398,0.189265666380894
364.2,0.128606016181974,0.0839678405779956,0.190681911569792
364.4,0.128863578150325,0.0844927843103469,0.192107498538957
364.6,0.129119894979535,0.0850170762280842,0.193542347086784
364.8,0.129374908220076,0.0855405901387101,0.194986374397381
365,0.129628558382029,0.0860631985790417,0.196439495108738
365.2,0.12988078497361,0.0865847728799133,0.197901621380894
365.4,0.130131526539685,0.0871051832308774,0.199372662964104
365.6,0.130380720700299,0.0876242987449084,0.200852527267007
365.8,0.130628304189192,0.088141987523104,0.202341119424798
366,0.130874212892321,0.0886581167193876,0.203838342367389
366.2,0.131118381886385,0.0891725526052107,0.205344096887586
366.4,0.131360745477342,0.0896851606342552,0.206858281709247
366.6,0.131601237238934,0.0901958055071352,0.208380793555459
366.8,0.131839790051206,0.0907043512361002,0.209911527216701
367,0.132076336139029,0.0912106612097363,0.211450375619013
367.2,0.13231080711062,0.0917145982576689,0.212997229892164
367.4,0.132543133996066,0.0922160247152656,0.214551979437822
367.6,0.132773247285844,0.0927148024883372,0.216114511997719
367.8,0.13300107696934,0.0932107931178406,0.217684713721821
368,0.133226552573374,0.0937038578445818,0.219262469236496
368.2,0.133449603200721,0.0941938576739167,0.220847661712682
368.4,0.133670157568631,0.0946806534404543,0.222440172934053
368.6,0.133888144047352,0.0951641058727591,0.22403988336519
368.8,0.134103490698648,0.0956440756580524,0.225646672219748
369,0.134316125314327,0.0961204235069157,0.227260417528623
369.2,0.134525975454756,0.0965930102179923,0.228880996208122
369.4,0.134732968487386,0.0970616967426894,0.230508284128129
369.6,0.134937031625271,0.0975263442498811,0.232142156180274
369.8,0.135138091965593,0.09798681419061,0.233782486346103
370,0.13533607652818,0.0984429683627896,0.235429147765242
370.2,0.13553091229403,0.0988946689759068,0.237082012803566
370.4,0.13572252624383,0.0993417787157239,0.238740953121373
370.6,0.13591084539648,0.0997841608089811,0.240405839741543
370.8,0.136095796847613,0.100221679088098,0.242076543117712
371,0.136277307808116,0.100654198055878,0.243752933202437
371.2,0.136455305642653,0.101081582950207,0.245434879515369
371.4,0.136629717908186,0.101503699808759,0.247122251211414
371.6,0.136800472392494,0.101920415533697,0.248814917148905
371.8,0.1369674971527,0.102331597956375,0.250512745957772
372,0.137130720553786,0.102737115902041,0.252215606107705
372.2,0.137290071307119,0.103136839254537,0.253923365976326
372.4,0.137445478508971,0.103530639021006,0.255635893917356
372.6,0.13759687167904,0.10391838739659,0.257353058328782
372.8,0.137744180798972,0.104299957829133,0.259074727721028
373,0.137887336350882,0.104675225083885,0.260800770785117
373.2,0.138026269355877,0.105044065308202,0.262531056460847
373.4,0.138160911412576,0.105406356096251,0.264265454004953
373.6,0.138291194735629,0.105761976553708,0.266003833059277
373.8,0.138417052194246,0.106110807362465,0.267746063718938
374,0.13853841735071,0.106452730845331,0.269492016600497
374.2,0.138655224498904,0.106787631030731,0.271241562910126
374.4,0.13876740870283,0.107115393717412,0.272994574511776
374.6,0.138874905835131,0.107435906539144,0.274750923995346
374.8,0.138977652615612,0.107749059029422,0.276510484744852
375,0.139075586649763,0.108054742686169,0.278273131006592
375.2,0.13916864646728,0.108352851036437,0.280038737957314
375.4,0.139256771560584,0.10864327970111,0.281807181772388
375.6,0.139339902423345,0.108925926459606,0.283578339693972
375.8,0.139417980589005,0.109200691314581,0.285352090099177
376,0.139490948669294,0.109467476556628,0.28712831256824
376.2,0.139558750392757,0.109726186828983,0.28890688795269
376.4,0.139621330643274,0.109976729192223,0.290687698443514
376.6,0.139678635498577,0.110219013188973,0.292470627639329
376.8,0.139730612268779,0.110452950908603,0.294255560614548
377,0.13977720953489,0.110678457051935,0.296042383987545
377.2,0.139818377187341,0.110895448995943,0.29783098598883
377.4,0.139854066464502,0.111103846858457,0.299621256529211
377.6,0.13988422999121,0.11130357356286,0.301413087267964
377.8,0.139908821817283,0.111494554902798,0.303206371681004
378,0.139927797456047,0.111676719606877,0.305001005129046
378.2,0.139941113922855,0.111849999403366,0.306796884925781
378.4,0.139948729773608,0.1120143290849,0.30859391040604
378.6,0.139950605143279,0.112169646573183,0.31039198299396
378.8,0.13994670178443,0.112315892983689,0.312191006271156
379,0.13993698310574,0.112453012690366,0.31399088604489
379.2,0.139921414210521,0.112580953390333,0.315791530416233
379.4,0.139899961935239,0.112699666168591,0.317592849848238
379.6,0.139872594888042,0.112809105562718,0.319394757234107
379.8,0.139839283487274,0.112909229627573,0.32119716796536
380,0.1398,0.113,0.323
380.2,0.139754718580059,0.113081381962724,0.32480317392972
380.4,0.139703415293914,0.11315334448727,0.326606613022065
380.6,0.139646068115541,0.113215860223659,0.328410243199018
380.8,0.139582656909109,0.113268905469116,0.330213992990546
381,0.139513163411202,0.113312460135985,0.332017793487183
381.2,0.13943757121303,0.113346507719636,0.333821578292607
381.4,0.139355865742649,0.113371035266376,0.335625283476227
381.6,0.139268034247176,0.113386033341359,0.33742884752576
381.8,0.139174065775006,0.113391495996492,0.339232211299814
382,0.139073951158025,0.11338742073835,0.341035317980472
382.2,0.138967682993829,0.113373808496081,0.342838113025869
382.4,0.138855255627943,0.113350663589319,0.344640544122775
382.6,0.138736665136031,0.11331799369609,0.34644256113918
382.8,0.138611909306115,0.113275809820725,0.34824411607687
383,0.138480987620794,0.113224126261768,0.350045163024011
383.2,0.138343901239456,0.113162960579886,0.351845658107732
383.4,0.138200652980497,0.113092333565778,0.353645559446703
383.6,0.138051247303535,0.113012269208084,0.35544482710372
383.8,0.137895690291628,0.112922794661298,0.357243423038284
384,0.137733989633491,0.112823940213673,0.359041311059182
384.2,0.13756615460571,0.112715739255133,0.360838456777072
384.4,0.137392196054957,0.112598228245184,0.362634827557062
384.6,0.137212126380213,0.112471446680819,0.364430392471289
384.8,0.137025959514975,0.112335437064434,0.366225122251505
385,0.13683371090948,0.112190244871731,0.368018989241658
385.2,0.136635397512917,0.112035918519633,0.369811967350469
385.4,0.136431037755645,0.11187250933419,0.371604032004017
385.6,0.136220651531407,0.11170007151849,0.373395160098324
385.8,0.136004260179549,0.111518662120569,0.375185329951925
386,0.135781886467235,0.111328341001319,0.376974521258464
386.2,0.135553554571663,0.111129170802401,0.378762715039264
386.4,0.135319290062282,0.110921216914149,0.380549893595914
